手机型号,上市时间,最低价格,最高价格,评价数,最小RAM,最大RAM,最小ROM,最大ROM,重量,屏幕尺寸,屏幕类型,分辨率,芯片型号,CPU得分,CPU核数,CPU主频率,GPU,操作系统,摄像头数,后置主像素,前置主像素,电池容量,充电接口,充电功率,网络类型,5G,无线充电
vivo Z5,201907,1598,1798,274975,6,8,128,128,189.6,6.38,Super AMOLED,2400x1080,骁龙712,86.8,8,2.2,Adreno 616,Funtouch OS 9.1,3,4800,3200,4500,Type-C,22.5,全网通,No,0
vivo Z5x,201905,1398,1598,569234,6,8,128,128,201,6.57,TFT LCD,2400x1080,骁龙675G,83.4,8,2.4,Adreno 620,Funtouch OS 10,4,4800,1600,5000,Type-C,44,全网通,No,0
vivo Z5i,201907,1398,1698,271154,6,8,64,256,193,6.53,TFT LCD,2340x1080,骁龙675,83.4,8,2,Adreno 612,Funtouch OS 9.2,3,1600,1600,5000,Type-C,18,全网通,No,0
vivo U3,201910,999,1099,53754,4,6,64,64,193,6.53,TFT LCD,2340x1080,骁龙675,83.4,8,2,Adreno 612,Funtouch OS 9.2,3,1600,1600,5000,Micro USB,18,全网通,No,0
vivo U3x,201909,799,1099,172843,3,6,32,64,191.5,6.35,LCD,1544x720,骁龙665,82.6,8,1.95,Adreno 512,Funtouch OS 9.1,3,1300,800,5000,Micro USB,18,全网通,No,0
Realme X50 Pro,202003,3599,4199,5693,8,12,128,256,205,6.44,AMOLED,2400x1080,高通骁龙865,108.4,8,2.94,Adreno 650,realme UI,4,6400,3200,4200,Type-C,65,全网通,Yes,0
Realme X50,202001,2499,2999,14182,8,12,128,256,202,6.57,AMOLED,2400x1080,骁龙675G,83.4,8,2.4,Adreno 620,realme UI,4,6400,1600,4200,Type-C,30,全网通,Yes,0
Realme Q,201909,998,1598,195842,4,8,64,128,184,6.3,TFT LCD,2340x1080,骁龙712,86.8,8,2.3,Adreno 616,ColorOS 6,4,4800,1600,4035,Type-C,20,全网通,No,0
Realme X,201905,1099,1599,481375,4,8,64,256,191,6.5,AMOLED,2340x1080,骁龙710,83.6,8,2.2,Adreno 616,ColorOS 6,2,4800,1600,3765,Type-C,20,全网通,No,0
Realme X2,201909,1399,1799,173824,6,8,64,256,182,6.4,AMOLED,2340x1080,骁龙730,93.9,8,2.2,Adreno 618,ColorOS 6,4,6400,1600,4000,Type-C,30,全网通,No,0
Realme X2 Pro,201910,2499,3199,31473,6,12,64,256,199,6.5,AMOLED,2400x1080,骁龙855+,104.1,8,2.96,Adreno 640,ColorOS 6.1,4,6400,1600,4000,Type-C,50,全网通,No,0
OnePlus 7T,201910,2999,3199,124213,8,8,128,256,190,6.6,AMOLED,2400x1080,骁龙855+,104.4,8,2.96,Adreno 640,Oxygen OS 10,3,4800,1600,3800,Type-C,30,全网通,No,0
OnePlus 7T Pro,201910,3999,5299,73642,8,12,256,256,206,6.7,AMOLED,3120x1440,骁龙855+,104.4,8,2.93,Adreno 640,Oxygen OS 10,3,4800,1600,4085,Type-C,30,全网通,No,0
OnePlus 7 Pro,201905,3499,4499,625692,6,12,128,256,206,6.67,AMOLED,3120x1440,骁龙 855,103.1,8,2.84,Adreno 640,H2OS,3,4822,1600,4000,Type-C,30,全网通,No,0
OnePlus 6T,201811,2337,3599,187535,6,8,128,256,185,6.41,Optic AMOLED,2340x1080,骁龙845,96.3,8,2.8,Adreno 630,H2OS,2,2000,1600,3700,Type-C,20,全网通,No,0
OnePlus 7,201905,2999,3299,215374,8,12,256,256,182,6.41,Optic AMOLED,2400x1080,骁龙 855,103.3,8,2.84,Adreno 640,H2OS,2,4800,1600,3700,Type-C,20,全网通,No,0
Meizu Note 9,201903,1199,1299,46072,4,6,64,128,170,6.2,LCD,2244x1080,骁龙 675,83.4,8,2,Adreno 612,Flyme 7.2,2,4800,2000,4000,Type-C,18,全网通,No,0
Meizu 16Xs,201906,1499,1499,33794,6,6,64,64,165,6.2,AMOLED,2232x1080,骁龙 675,83.4,8,2,Adreno 612,Flyme 8,3,4800,1600,4000,Type-C,24,全网通,No,0
Meizu 16s,201904,2299,3199,72387,6,8,128,256,165,6.2,AMOLED,2232x1080,骁龙 855,102.9,8,2.84,Adreno 640,Flyme 7.3,2,4800,2000,3600,Type-C,24,全网通,No,0
Meizu 16T,201910,1999,2499,46924,6,8,128,256,183,6.5,AMOLED,2232x1080,骁龙 855,102,8,2.84,Adreno 640,Flyme 8,3,1200,1600,4500,Type-C,18,全网通,No,0
Meizu 16s Pro,201908,2699,3299,42983,6,8,128,256,166,6.2,AMOLED,2232x1080,骁龙855+,104.4,8,2.96,Adreno 640,Flyme 8,3,4800,2000,3600,Type-C,24,全网通,No,0
Meizu 16th Plus,201808,1698,1998,263991,6,8,128,256,182,6.5,AMOLED,2160x1080,骁龙845,97.5,8,2.8,Adreno 630,Meizu Flyme OS,2,1200,2000,3570,Type-C,18,全网通,No,0
Meizu 16X,201809,1598,1898,123841,6,6,64,128,154,6,AMOLED,2160x1080,骁龙710,84,8,2.2,Adreno 616,Meizu Flyme OS,2,1200,2000,3100,Type-C,24,全网通,No,0
Meizu X8,201810,1298,1698,164723,4,6,64,128,160,6.2,LCD,2220x1080,骁龙710,84,8,2.2,Adreno 616,Meizu Flyme OS,2,1200,2000,3210,Type-C,18,全网通,No,0
Samsung Galaxy A50s,201911,1999,1999,3594,6,6,128,128,166,6.4,Super AMOLED,2340x1080,Exynos 9611,92.8,8,2.3,Mali-G72 MP3,One UI,3,4800,3200,4000,Type-C,25,全网通,No,0
